Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0A0H3KB22	7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	A2BJ90	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	A6H1N2	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	A9CF16	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	B0R9W6	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	O27295	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	O29808	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	O31677	7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	O67826	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	P45097	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	P64555	7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q1IHK7	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q2FS67	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q2RSY6	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q59039	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q5JGE6	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q74CF3	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q7NCE3	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q7UVG8	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q7V9H9	7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q89SC0	7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3;7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q89ZC3	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8EZ24	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8K9D9	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8KFK8	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8TIF5	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8TX58	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q8ZZZ0	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q97D55	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q9HII0	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q9K0Q5	7-carboxy-7-deazaguanine synthase ||4.3.99.3
1	Q9ZCV2	7-carboxy-7-deazaguanine synthase ||4.3.99.3
