Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0R075	Lipoyl synthase 
1	A3MW09	Probable lipoyl synthase 
1	A4J247	Lipoyl synthase 
1	A4RW69	Lipoyl synthase, chloroplastic 
1	A4XHV2	Lipoyl synthase 
1	A5GCS6	Lipoyl synthase 
1	A6V0B4	Lipoyl synthase 
1	A8PF69	Lipoyl synthase, mitochondrial 
1	A8Z609	Lipoyl synthase 
1	A9WEM1	Lipoyl synthase 
1	B7G3Y9	Lipoyl synthase 2, mitochondrial
1	B9M4F4	Lipoyl synthase 
1	B9MQ24	Lipoyl synthase 
1	B9RW49	Lipoyl synthase, mitochondrial
1	C5CCN0	Lipoyl synthase 
1	O32129	Lipoyl synthase 
1	P61194	Lipoyl synthase 
1	P61196	Lipoyl synthase 
1	P61199	Lipoyl synthase 
1	Q057Q7	Lipoyl synthase 
1	Q0I1H8	Lipoyl synthase,Lipoyl synthase 
1	Q0RFE8	Lipoyl synthase 
1	Q1AT13	Lipoyl synthase 
1	Q1D4N0	Lipoyl synthase 
1	Q1II13	Lipoyl synthase 
1	Q1LTM3	Lipoyl synthase 
1	Q21452	Lipoyl synthase, mitochondrial 
1	Q2GKX7	Lipoyl synthase 
1	Q2IIW6	Lipoyl synthase ,Probable lipoyl synthase 
1	Q2RHM6	Lipoyl synthase 
1	Q3ARP5	Lipoyl synthase 
1	Q3B3Y5	Lipoyl synthase 
1	Q3IU11	Probable lipoyl synthase 
1	Q4UK97	Lipoyl synthase ,Lipoyl synthase 1 ,Lipoyl synthase 2 
1	Q5KVM7	Lipoyl synthase 
1	Q5QYE5	Lipoyl synthase 
1	Q6ARK0	Lipoyl synthase 
1	Q6C6C6	Lipoyl synthase, mitochondrial 
1	Q6L1L7	Probable lipoyl synthase 
1	Q6MEX3	Lipoyl synthase 
1	Q72DM4	Lipoyl synthase 
1	Q7NLU2	Lipoyl synthase ,Lipoyl synthase 1 
1	Q7U4D9	Lipoyl synthase 1 
1	Q7UH37	Lipoyl synthase 
1	Q7V507	Lipoyl synthase ,Lipoyl synthase 1 
1	Q7VBJ3	Lipoyl synthase 2 
1	Q8A029	Lipoyl synthase ,Lipoyl synthase, mitochondrial 
1	Q8DL83	Lipoyl synthase 1 ,Lipoyl synthase, organellar chromatophore 
1	Q8F3V7	Lipoyl synthase 
1	Q8YWC1	Lipoyl synthase ,Lipoyl synthase 1 
1	Q97U63	Probable lipoyl synthase 
1	Q9JZA5	Lipoyl synthase 
1	Q9RWA4	Lipoyl synthase 
1	Q9Z774	Lipoyl synthase 
