Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0LBZ1	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A0LQM1	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A0Q112	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A1AL40	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A1AW44	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A1TZP7	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A1WXZ3	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A2BT57	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A3DCX9	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A4VNX4	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A4X4J7	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A4XL78	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A5D1B6	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A5HBL2	Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr ||2.1.1.224;Ribosomal RNA large subunit methyltransferase Cfr||2.1.1.224
1	A6H1B8	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A6TRW3	Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Probable dual-specificity RNA methyltransferase RlmN ||2.1.1.192
1	A8EQW8	Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192;Dual-specificity RNA methyltransferase RlmN ||2.1.1.192
