Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0A384LP51	Anaerobilin synthase ||2.1.1.342
1	A5D7B1	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial
1	O25376	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3;Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	O31381	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	O34162	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	O67886	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P0A1E2	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3;Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P32131	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P33770	Coproporphyrinogen III oxidase, anaerobic 1 ||1.3.98.3;Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P43899	Heme chaperone HemW
1	P51008	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3;Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P52062	Heme chaperone HemW 
1	P54304	Heme chaperone HemW
1	P57615	Heme chaperone HemW;Heme chaperone HemW
1	P73245	Heme chaperone HemW
1	P74132	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P77915	Oxygen-independent coproporphyrinogen III oxidase ||1.3.98.3
1	P9WP72	Heme chaperone HemW;Heme chaperone HemW
1	Q54VE8	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial
1	Q5SUV1	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial;Radical S-adenosyl methionine domain-containing protein 1, mitochondrial
1	Q796V8	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ||1.3.99.-
1	Q89A47	Putative heme chaperone HemW-like protein
1	Q9CGF7	Heme chaperone HemW
1	Q9HA92	Radical S-adenosyl methionine domain-containing protein 1, mitochondrial
