Cluster Number	Metanode UniProt ID	SwissProt Annotations
1	A0L887	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A0LFB7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A0LIM0	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A1APR6	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A1AX14	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A1B3K8	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A1S2T9	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A1TMP4	Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4;Ribosomal protein S12 methylthiotransferase RimO ||2.8.4.4
1	A1UU39	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
1	A1VF04	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3;tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase ||2.8.4.3
